'vel:', 0.6, '| ang:', 0.049187935984325915, '| x_e:', 1, '| y_e:', 1, '| x:', 3.0197641628733294, '| y:', 1.807802265810126, ,'| x_e:', 0.12296983996081479, '| theta:', 0.8961484587391921
'vel:', 0.6, '| ang:', 0.04776372909073619, '| x_e:', 1, '| y_e:', 1, '| x:', 3.0568278476107587, '| y:', 1.8541407125440137, ,'| x_e:', 0.11940932272684046, '| theta:', 0.901576504413569
'vel:', 0.6, '| ang:', 0.04635718324450449, '| x_e:', 1, '| y_e:', 1, '| x:', 3.094016734919219, '| y:', 1.9011566269892193, ,'| x_e:', 0.11589295811126121, '| theta:', 0.907028961640769
'vel:', 0.6, '| ang:', 0.044938335921644514, '| x_e:', 1, '| y_e:', 1, '| x:', 3.130941337366001, '| y:', 1.9483651755856926, ,'| x_e:', 0.11234583980411128, '| theta:', 0.9124681427176231
'vel:', 0.6, '| ang:', 0.0435137182044886, '| x_e:', 1, '| y_e:', 1, '| x:', 3.1676110797494514, '| y:', 1.9957770460303252, ,'| x_e:', 0.10878429551122148, '| theta:', 0.9180306740382966
'vel:', 0.6, '| ang:', 0.04202841015967414, '| x_e:', 1, '| y_e:', 1, '| x:', 3.2040192877328817, '| y:', 2.0433957703968146, ,'| x_e:', 0.10507102539918534, '| theta:', 0.9235849987405106
'vel:', 0.6, '| ang:', 0.04053359731188775, '| x_e:', 1, '| y_e:', 1, '| x:', 3.240160113862539, '| y:', 2.0912128971136803, ,'| x_e:', 0.10133399327971937, '| theta:', 0.929063682011418
'vel:', 0.6, '| ang:', 0.039055528262946386, '| x_e:', 1, '| y_e:', 1, '| x:', 3.276040056654661, '| y:', 2.1392294942400465, ,'| x_e:', 0.09763882065736595, '| theta:', 0.934566006366689
'vel:', 0.6, '| ang:', 0.03755438211273798, '| x_e:', 1, '| y_e:', 1, '| x:', 3.3116567591820165, '| y:', 2.1874448231866226, ,'| x_e:', 0.09388595528184496, '| theta:', 0.9400710913581453
'vel:', 0.6, '| ang:', 0.03603758652243259, '| x_e:', 1, '| y_e:', 1, '| x:', 3.3470024279519426, '| y:', 2.2358485560502364, ,'| x_e:', 0.09009396630608146, '| theta:', 0.9458910645508635
'vel:', 0.6, '| ang:', 0.03437932753182298, '| x_e:', 1, '| y_e:', 1, '| x:', 3.3820669545314552, '| y:', 2.2844587914699863, ,'| x_e:', 0.08594831882955745, '| theta:', 0.9514641364824026
'vel:', 0.6, '| ang:', 0.032801181617069554, '| x_e:', 1, '| y_e:', 1, '| x:', 3.416865371877818, '| y:', 2.333271181770989, ,'| x_e:', 0.08200295404267388, '| theta:', 0.9568351298456337
